Peter 'Inzta' Kragelund_+_441
Nicolai 'HUNDEN' Petersen_+_442
Nikolaj 'niko' Kristensen_+_443
Martin 'PERCY' Wessel_+_444
Håvard 'rain' Nygaard_+_445
Philip 'aizy' Aistrup_+_446
Fabien 'kioShiMa' Fiey_+_447
Joakim 'jkaem' Myrbostad_+_448
Nico 'Nico' Weeverink_+_449
Sabit 'mirbit' Coktasar_+_450
Sercan 'loWgii' P._+_451
Devin 'Zarin' Doehmen_+_452
mT_+_453
Ramon 'RMN' Toledo_+_454
Pedro 'pd' Savedra_+_455
Richard 'plx' Albino_+_456
Rosario 'SpyDaemoN' Polo_+_457
Lucas 'develop' Oliveira_+_458
Guilherme 'donath' Donath_+_459
Vinicius 'zam' Godoy_+_460
Fernando 'f11' Souza_+_461
Bruno 'shz' Martinelli_+_462
Rodrigo 'nkzaj' Martins_+_463
Nikita 'stopSHOT' Zaichuk_+_464
Andrei 'andzie' Zelenkov_+_465
Jerry 'xelos' Råberg_+_466
Gustav 'KAB0M' Runemalm_+_467
Mattias 'khobra' Heidnert_+_468
Adam 'maektig' Widell_+_469
Per 'Samzter' Grahn_+_470
Roko 'rbfurious' Bariić_+_471
Matija 'NyX' Jovanović_+_472
Mario 'Mariooh' Grdović_+_473
Ermin 'revyy' Kardović_+_474
Predrag 'st0Le' Stojkovic_+_475
Roma 'dOBRIY' Rusak_+_476
Vladimir 'ROBO' Neskey_+_477
Slava 'fAst' Rubets_+_478
Alexander 's4shkin' Burmistrov_+_479
Dauren 'AdreN' Kystaubayev_+_480
Rustem 'mou' Telepov_+_481
Dmitry 'hooch' Bogdanov_+_482
Ivan 'spaze' Obrezhan_+_483
Mihail 'Dosia' Stolyarov_+_484
Fredrik 'freddieb' Buö_+_485
Fredrik 'REZ' Sterner_+_486
Mathias 'pauf' Köhler_+_487
William 'draken' Sundin_+_488
Aron 'xajdish' Fredriksson_+_489
Fredrik 'Krewmer' Svensson_+_490
David 'Jayzwalkingz' Kempner_+_491
Eddie 'zape' Härdeman_+_492
Mattias 'bENNY' Rosback_+_493
Andre 'Blacc' Lepik_+_494
Raul 'nyte' Edovald_+_495
Robin 'ropz' Kool_+_496
Mario 'Gaborik' Piirisaar_+_497
Taavet 'nuga' Pruli_+_498
Alfred 'RuStY' Karlsson_+_499
Patrik 'powerputte' Perjons_+_500
Jakob 'Barkeen' Bark_+_501
Hampus 'hampus' Poser_+_502
Linus 'limp' Brannlund_+_503
Marius 'f1nsen' Finsen_+_504
Jon 'ztk' Erik Øygarden_+_505
Morten 'zEVES' Vollan_+_506
Espen 'frkz' Gulbrandsen_+_507
Jorgen 'cromen' Robertsen_+_508
Josh 'INS' Potter_+_509
Liam 'malta' Schembri_+_510
Alistair 'aliStair' Johnston_+_511
Tyler 'tucks' Reilly_+_512
Michael 'Lightstep' Hall_+_513
Alistair 'vas' Kane_+_514
Jack 'jkaz' Stephenson_+_515
Aaron 'nezz' McBride_+_516
Jack 'dash.' Speck_+_517
Michael 'MC' Campagna_+_518
Joachim 'darti' Fornstedt_+_519
Hendrik 'cheti' Vallimägi_+_520
Nikolaj 'EXR' Therkildsen_+_521
Johannes 'b0RUP' Borup_+_522
Hector 'HECTOz' Jensen_+_523
Danny 'BERRY' Krüger_+_524
Alan 'AlaNDieg0R' Riveros_+_525
Pedro 'Maluk3' Campos_+_526
Fillipe 'bt0' Moreno_+_527
Alencar 'trk' Rossato_+_528
Victor 'bld' Rocha_+_529
Sebastian 'funtz' Helm_+_530
Nicolaj 'mupzG' Djurhus_+_531
Mathias 'PnX' Pedersen_+_532
Kasper 'DetlevSNitzEL' Kristensen_+_533
Kenni 'wezx' Holmberg_+_534
Kyle 'OCEAN' O'Brien_+_535
Terry 'dsr' Rioux_+_536
Cory 'APE' Bate_+_537
Josh 'JoshRT' Lee_+_538
Dylan 'rik0k0' Arnce_+_539
Alex 'aproto' Protopapas_+_540
Caleb 'sayonara' Lee_+_541
Tayler 'Drone' Johnson_+_542
Milen 'MILENK0' Le_+_543
Kaloyan 'kaloyanker' Stoyanov_+_544
Hristian 'shEMETA' Spasov_+_545
Veselin 'Geko' Ganchev_+_546
Minko 'minko' Ivanov_+_547
Harry 'inciN' Apostoleris_+_548
Riaan 'stYle' van Niekerk_+_549
Christopher 'Apocalypse' Lautre_+_550
Tyrone 'Explicit' Lautre_+_551
Jannie 'Hellhound' van Niekerk_+_552
Wesley 'Stain' Neveling_+_553
Brad 'BaNaNaZz' Altona_+_554
Rikus 'ZipZip' Klue_+_555
James 'zerOchaNce' Wijnberg_+_556
Dean 'massacRe' Davids_+_557
Bektiyar 'fitch' Bahytov_+_558
Abay 'HObbitt' Khasenov_+_559
Dastan 'dastan' Akbaev_+_560
Ramazan 'Ramz1k' Bashizov_+_561
Adlet 'keeN' Nyrseytov_+_562
François 'AmaNEk' Delaunay_+_563
Alexandre 'Styff' Palate_+_564
Vincent 'Aceqt' Vo_+_565
David 'devoduvek' Dobrosavljevic_+_566
Léo 'Kan4' Intronati_+_567
Hatem 'Sheva' Guermassi_+_568
Adel 'Remind' Guermassi_+_569
Mohamed 'torr' Hamdani_+_570
Ben-Amor 'krumpze' Karim_+_571
Alaeddine 'Potei' Chaari_+_572
Taibi 'Lyhn' Youssef_+_573
Achraf 'Nier' Sami Serrai_+_574
Mokrani 'Kheops' Anis_+_575
Naim 'Jada' Chikhi_+_576
Kihel 'Chihab' Chihab_+_577
Vadim 'Flarich' Karetin_+_578
Kristaps 'image' Petrovs_+_579
Aivis 'prelideN' Krastiņ_+_580
Inguss 'LuCiann' Dimza_+_581
Vincent 'v1N' Brouwer_+_582
Bernard 'Bernard' Stornebrink_+_583
Gido 'CYTARO' Brouwer_+_584
Tillo 'xillian' Van Speybroeck_+_585
Louis 'axrRRRRR' Van Dooren_+_586
Alejandro 'otto' Mendive_+_587
Wayne 'kiiva' Chin_+_588
Douglas 's0mbra' Felizardo_+_589
Vitor 'piahhZORD ' Fonseca_+_590
José 'Spr' Lara_+_591
Matheus 'ne0' Alberto_+_592
Johannes 'tabseN' Wodarz_+_593
Peter 'ptr' Gurney_+_594
Jacob 'FugLy' Medina_+_595
Fatih 'gob b' Dayik_+_596
Nikola 'LEGIJA' Ninić_+_597
Lincoln 'fnx' Lau_+_598
Shahzeb 'ShahZaM' Khan_+_599
Ryan 'freakazoid' Abadir_+_600
Ronnie 'ryx' Bylicki_+_601
Daniel 'roca' Gustaferri_+_602
Sean 'seang@res' Gares_+_603
Skyler 'Relyks' Weaver_+_604
Yaroslav 'It's my' Ushkov_+_605
Gregory 'balblna' Oleinick_+_606
Alexander 'uNdo' Kizjukevich_+_607
Vasiliy 'FANAT ROCKA' Trusov_+_608
Mihael 'moonsh1n3' Popkov_+_609
Dima 'def' Lemeschuk_+_610
Leonard 'kenzor' Volodarchuk_+_611
Grigory 'ImP' Maksimenko_+_612
Artur 'Pancher' Mishin_+_613
Kirill 'doobler' Chaika_+_614
Junki 'Micke' Yamamoto_+_615
Naoya 'impalement' Fukuura_+_616
Yusuke 'Norisen' Shima_+_617
Masumi 'akioni' Miki_+_618
Keita 'YukiStyle' Takeo_+_619
Nevin 'splashske' Aw_+_620
Anthony 'ImpressioN' Lim_+_621
Muhammad 'dejavux' Faiz Bin Ismam_+_622
Mingyong 'lUMBERJACK' Lee_+_623
Benedict 'Benkai' Tan_+_624
Ignas 'kreuw' Gurauskas_+_625
Nikolaj 'kalinka' Rysakov_+_626
Ricardas 'Veeker' Vismantas_+_627
Andrius 'TORAS' Balciunas_+_628
Nikita 'ninja' Nogovichin_+_629
Sergei 'greenjin' Vdovichenko_+_630
Ivan 'JUMPERJkE' Chervotkin_+_631
Sorin 'skyshine' Plesca_+_632
Andrey 'kubert' Binikovsky_+_633
Leonid 'chopper' Vishnyakov_+_634
Andrew 'ino' Foster_+_635
Brady 'KStaar' Kindt_+_636
Andrew 'Catalyst' Plummer_+_637
Reece 'Squishy' Liney_+_638
Daniel 'forge' Fox_+_639
Wisti 'zEptonL' Holst_+_640
Kristian 'tabac0' Simonsen_+_641
Matthias 'carnees' Hyldegaard_+_642
Dennis 'sycrone' Nielsen_+_643
Nicklas 'gade' Gade_+_644
Ariel 'AriEl' Ramirez_+_645
Pablo 'pablinka' Gamaleri_+_646
Martin 'proody' Anso_+_647
Leandro 'leazo' Liset_+_648
Alejandro 'hirakuza' Flores_+_649
YanTung 'TunGY' Chan_+_650
WingHei 'Freeman' Cheung_+_651
ChiNam 'Darkkis' Li_+_652
HoWang 'krbl' Wong_+_653
YiuSing 'grAntie' Chan_+_654
Anders 'pbD' Aidemark_+_655
Buğra 'Calyx' Arkın_+_656
Tomá 'benq1' Masaryk_+_657
David 'frozen' Čerňanský_+_658
Richard 'queztone' Strnátko_+_659
Lubos 'HenkkyG' Ilko_+_660
Martin 'MonttY' Meliek_+_661
Vladimir 'vLad1r0x' Garbeshkov_+_662
Kenneth 'amigo' Kurz_+_663
Christoph 'chrissK' Kröll_+_664
Akashpreet 'Shipta' Wedech_+_665
Dimitris 'MITSARAS' Filoxenidis_+_666
Tarik 'tarik' Agaba_+_667
Sophien 'thyx' Felkaoui_+_668
